word1,word2,image_similarity,text_similarity,multimodal_similarity
turkey,swan,0.1744470596313476,0.0255837701261043,0.1367230117321014
turtle,horse,0.1716104745864868,0.1265007257461547,0.0880489945411682
cheese,mud,0.1226733550429344,0.0490143522620201,-0.0363327488303184
squirrel,eagle,0.2219730913639068,0.1785963028669357,0.2026156336069107
potato,glasses,0.1531736552715301,0.0715008452534675,0.1134069412946701
bulldozer,orange,-0.0219781063497066,0.0232071876525878,-0.0373137891292572
snail,cow,-0.0281756296753883,0.0385063402354717,-0.0422462373971939
acorn,key,0.1983401030302047,0.1379037499427795,0.224955528974533
turkey,goat,0.1539006233215332,0.250357836484909,0.1564994752407074
turtle,frog,0.3029956221580505,-0.0559207946062088,0.0250363443046808
cheese,butter,0.356504738330841,0.1039070263504982,0.088982492685318
squirrel,monkey,0.343284010887146,0.0425908342003822,0.2056188583374023
potato,pot,0.0631411224603653,-0.0208608694374561,0.064381867647171
bulldozer,tractor,0.4343283176422119,0.1039272248744964,0.3297010362148285
snail,worm,0.07686697691679,0.135345458984375,0.0537391901016235
acorn,coconut,0.347669780254364,1.0000001192092896,0.6928718686103821
turkey,swan,0.17444705963134766,0.025583770126104355,0.13672301173210144
turtle,horse,0.17161047458648682,0.12650072574615479,0.08804899454116821
cheese,mud,0.12267335504293442,0.04901435226202011,-0.03633274883031845
squirrel,eagle,0.22197309136390686,0.17859630286693573,0.2026156336069107
potato,glasses,0.15317365527153015,0.07150084525346756,0.1134069412946701
bulldozer,orange,-0.02197810634970665,0.02320718765258789,-0.0373137891292572
snail,cow,-0.028175629675388336,0.038506340235471725,-0.04224623739719391
acorn,key,0.19834010303020477,0.13790374994277954,0.22495552897453308
turkey,goat,0.1539006233215332,0.25035783648490906,0.1564994752407074
turtle,frog,0.30299562215805054,-0.0559207946062088,0.025036344304680824
cheese,butter,0.35650473833084106,0.1039070263504982,0.088982492685318
squirrel,monkey,0.343284010887146,0.04259083420038223,0.20561885833740234
potato,pot,0.0631411224603653,-0.02086086943745613,0.06438186764717102
bulldozer,tractor,0.4343283176422119,0.10392722487449646,0.3297010362148285
snail,worm,0.07686697691679001,0.135345458984375,0.053739190101623535
acorn,coconut,0.347669780254364,1.0000001192092896,0.6928718686103821
